state_name,3W_Personal,Others,2W_Personal,4W_Shared,4W_Personal,2W_Shared,Institution Bus,Bus,3W_Goods,3W_Shared_LowSpeed,3W_Shared,3W_Goods_LowSpeed,total_sales
Andaman & Nicobar Island,0,2,11,7,92,20,NULL,40,0,1,0,29,202
Andhra Pradesh,1,765,69019,51,3213,1,0,120,409,1502,1412,863,77356
Arunachal Pradesh,0,0,10,0,28,NULL,0,0,2,NULL,0,NULL,40
Assam,0,423,5208,53,465,NULL,0,193,324,137982,4926,2343,151917
Bihar,0,47,28116,16,865,0,NULL,27,855,174880,5678,2981,213465
Chandigarh,NULL,40,3395,12,1489,0,0,80,128,4684,414,1211,11453
Chhattisgarh,68,1578,48828,42,1686,0,0,2,771,15943,3949,2408,75275
Delhi,0,417,85358,7143,12021,NULL,0,1731,12344,134439,1415,13670,268538
DNH and DD,1,8,256,3,65,0,0,25,32,2,39,NULL,431
Goa,8,90,15151,2,1921,0,0,108,16,12,14,60,17382
Gujarat,35,751,157870,143,10865,1,0,623,3415,778,1253,979,176713
Haryana,0,252,27318,1314,2687,52,0,16,1249,43732,3701,4929,85250
Himachal Pradesh,2,65,2246,3,224,0,0,118,3,188,27,10,2886
Jammu and Kashmir,0,3,5512,0,210,NULL,0,192,37,7812,2760,314,16840
Jharkhand,0,33,17277,187,602,0,0,2,479,26189,2589,513,47871
Karnataka,44,523,267178,5073,17016,11493,0,764,5959,833,5000,1615,315498
Kerala,85,135,108068,132,15627,50,0,143,1145,1235,6119,507,133246
Ladakh,NULL,0,58,0,10,0,0,19,0,1,NULL,NULL,88
Madhya Pradesh,33,104,70420,75,2366,0,0,76,453,52657,2327,4671,133182
Maharashtra,38,603,342231,3064,29253,5,0,1712,3941,13359,2651,4678,401535
Manipur,0,1,300,1,38,NULL,0,0,0,903,32,9,1284
Meghalaya,12,2,135,0,37,NULL,0,0,5,1,16,NULL,208
Mizoram,NULL,1,233,0,1,0,0,0,0,NULL,0,NULL,235
Nagaland,NULL,0,48,0,4,0,0,0,0,NULL,0,NULL,52
Odisha,3,200,75437,109,1916,12,0,51,1349,5022,1101,1623,86823
Puducherry,8,8,4832,30,129,0,0,0,13,32,56,31,5139
Punjab,0,139,21461,25,963,0,0,1,353,23442,981,1920,49285
Rajasthan,0,187,137635,150,7014,89,0,13,1574,67795,1508,12608,228573
Sikkim,NULL,0,1,2,1,0,0,0,NULL,NULL,NULL,NULL,4
Tamil Nadu,83,1845,181735,331,10189,NULL,0,60,7119,18,208,5314,206902
Tripura,NULL,9,516,4,39,NULL,NULL,0,71,11914,5793,0,18346
Uttar Pradesh,0,205,83734,145,5301,35,0,748,1495,596325,18584,25502,732074
Uttarakhand,NULL,2,13979,45,1017,7,0,35,76,39364,1732,1349,57606
West Bengal,0,174,22764,937,3322,0,0,110,1357,47082,1847,519,78112
